Code,Food Name,대분류,중분류,fc,vg,cs,si
B11098,참치마요덮밥,일반외식 및 배달음식,배달음식,FC08S03,VG05,CS13,SI06
B11099,참치마요컵밥,일반외식 및 배달음식,배달음식,FC08S03,VG05,CS13,"SI02, SI08, SI06"
B11100,참치샌드위치,일반외식 및 배달음식,배달음식,FC10S04,VG05,CS12,"SI01, SI06"
B11101,충무김밥,일반외식 및 배달음식,배달음식,FC08S02,VG05,CS01,"SI01, SI02, SI08"
B11104,치즈라볶이,일반외식 및 배달음식,배달음식,FC09S02,VG02,CS13,"SI02, SI04, SI08"
B11106,치즈샌드위치,일반외식 및 배달음식,배달음식,FC10S04,VG04,CS12,SI06
B11107,치즈피자,일반외식 및 배달음식,배달음식,FC10S10,VG02,CS13,"SI08, SI01, SI06"
B11108,치킨마요덮밥,일반외식 및 배달음식,배달음식,FC08S03,VG06,CS13,SI06
B11109,치킨버거,일반외식 및 배달음식,배달음식,FC10S03,VG06,CS12,SI06
B11110,치킨토스트,일반외식 및 배달음식,배달음식,FC10S04,VG06,CS12,SI06
B11111,카레컵밥,일반외식 및 배달음식,배달음식,FC08S03,VG07,CS06,SI01
B11112,카야토스트,일반외식 및 배달음식,배달음식,FC10S04,VG01,CS06,
B11113,콤비네이션피자(씬),일반외식 및 배달음식,배달음식,FC10S10,VG07,CS13,"SI08, SI01, SI06"
B11114,콤비네이션피자(팬),일반외식 및 배달음식,배달음식,FC10S10,VG07,CS13,"SI08, SI01, SI06"
B11115,크리스피치킨(뼈),일반외식 및 배달음식,배달음식,FC22S05,VG06,CS13,SI01
B11116,크림(크리미)치킨(뼈),일반외식 및 배달음식,배달음식,FC22S05,VG06,CS13,SI01
B11117,크림떡볶이,일반외식 및 배달음식,배달음식,FC09S02,VG07,CS13,"SI01, SI08, SI06"
B11118,클럽샌드위치,일반외식 및 배달음식,배달음식,FC10S04,VG07,CS12,SI06
B11120,파닭,일반외식 및 배달음식,배달음식,FC22S05,VG06,CS13,"SI01, SI02, SI08, SI09"
B11121,페퍼로니피자(씬),일반외식 및 배달음식,배달음식,FC10S10,VG07,CS13,"SI08, SI01, SI06"
B11122,페퍼로니피자(팬),일반외식 및 배달음식,배달음식,FC10S10,VG07,CS13,"SI08, SI01, SI06"
B11125,프렌치토스트,일반외식 및 배달음식,배달음식,FC10S04,VG04,CS12,"SI01, SI08"
B11126,피자토스트,일반외식 및 배달음식,배달음식,FC10S04,VG07,CS12,SI06
B11127,햄샌드위치,일반외식 및 배달음식,배달음식,FC10S04,VG07,CS12,"SI01, SI06"
B11129,햄치즈토스트,일반외식 및 배달음식,배달음식,FC10S04,VG07,CS12,SI06
B11131,훈제양념치킨,일반외식 및 배달음식,배달음식,FC03S03,VG06,CS13,"SI01, SI02, SI04, SI07, SI11, SI10, SI06"
B11132,훈제치킨(뼈),일반외식 및 배달음식,배달음식,FC03S03,VG06,CS13,"SI01, SI11, SI10"
B12002,간장달걀밥,일반외식 및 배달음식,일반외식,FC08S06,VG03,CS01,SI02
B12003,간장닭갈비,일반외식 및 배달음식,일반외식,FC09S04,VG06,CS01,SI02
B12005,갈비전골,일반외식 및 배달음식,일반외식,FC20S02,VG07,CS01,"SI01, SI02, SI08"
B12007,갈치구이,일반외식 및 배달음식,일반외식,FC03S02,VG05,CS01,SI01
B12009,감자수제비,일반외식 및 배달음식,일반외식,FC07S02,VG05,CS01,SI01
B12011,검은콩국수,일반외식 및 배달음식,일반외식,FC07S01,VG01,CS01,SI01
B12012,게살볶음밥,일반외식 및 배달음식,일반외식,FC08S05,VG05,CS01,SI05
B12013,고구마돈가스,일반외식 및 배달음식,일반외식,FC22S03,VG07,CS13,SI01
B12014,고구마샐러드,일반외식 및 배달음식,일반외식,FC11S03,VG03,CS12,SI06
B12015,고구마치즈돈가스,일반외식 및 배달음식,일반외식,FC22S03,VG07,CS13,SI01
B12016,고기국수,일반외식 및 배달음식,일반외식,FC07S01,VG07,CS01,"SI01, SI02, SI03"
B12018,고추장불고기,일반외식 및 배달음식,일반외식,FC09S04,VG07,CS01,SI04
B12021,광어매운탕,일반외식 및 배달음식,일반외식,FC04S03,VG05,CS01,"SI01, SI02, SI04"
B12023,국물닭발,일반외식 및 배달음식,일반외식,FC18S03,VG06,CS01,"SI02, SI04, SI08, SI09"
B12024,굴국밥,일반외식 및 배달음식,일반외식,FC04S01,VG05,CS01,SI01
B12025,굴비구이,일반외식 및 배달음식,일반외식,FC03S02,VG05,CS01,
B12027,김치찜,일반외식 및 배달음식,일반외식,FC21S04,VG07,CS01,"SI02, SI04, SI08"
B12034,낙지덮밥,일반외식 및 배달음식,일반외식,FC08S03,VG05,CS01,"SI01, SI04, SI08"
B12036,날치알주먹밥,일반외식 및 배달음식,일반외식,FC08S06,VG05,CS13,"SI01, SI06"
B12038,납작만두,일반외식 및 배달음식,일반외식,FC07S04,VG01,CS01,"SI01, SI02"
B12042,단호박샐러드,일반외식 및 배달음식,일반외식,FC11S03,VG03,CS12,SI06
B12043,단호박피자,일반외식 및 배달음식,일반외식,FC10S10,VG04,CS13,"SI01, SI08, SI09, SI06"
B12045,달걀초밥,일반외식 및 배달음식,일반외식,FC08S02,VG03,CS03,"SI01, SI08"
B12046,닭가슴살샐러드,일반외식 및 배달음식,일반외식,FC11S03,VG06,CS12,"SI01, SI06"
B12048,닭계장,일반외식 및 배달음식,일반외식,FC20S02,VG06,CS01,SI01
B12049,닭내장볶음,일반외식 및 배달음식,일반외식,FC09S04,VG06,CS01,"SI01, SI02"
B12050,닭모래집볶음,일반외식 및 배달음식,일반외식,FC09S04,VG06,CS01,"SI01, SI02"
B12051,닭발볶음,일반외식 및 배달음식,일반외식,FC09S04,VG06,CS01,"SI02, SI04, SI09"
